Qty,,Line Item,Manufacturer,MPN,SKU,SKU,SKU,SKU,SKU,SKU,SKU,SKU,URL
,,,,,Digi-Key,Mouser,Qosina,Cole-Parmer,Lee Spring,U.S. Plastic Corp.,B&H Photo,Amazon,
1,Arduino Micro / Genuino Micro ,A000053,Arduino,A000053,1050-1066-ND,,,,,,,,https://www.digikey.ca/product-detail/en/arduino/A000053/1050-1066-ND
1,SparkFun Bluetooth Silver Mate ,WRL-12576,SparkFun,WRL-12576,1568-1265-ND,,,,,,,,http://www.digikey.ca/product-detail/en/sparkfun-electronics/WRL-12576/1568-1265-ND
1,Pressure Transducer ,MPXV7002DPT1,NXP Semiconductors,MPXV7002DPT1,MPXV7002DPT1CT-ND,MPXV7002DPT1,,,,,,,http://www.digikey.ca/product-detail/en/nxp-usa-inc/MPXV7002DPT1/MPXV7002DPT1CT-ND
2,Right Angle Push Button ,"""431256058736""",Würth Elektronik ,"""431256058736""",431256058736-ND,,,,,,,,http://www.digikey.ca/product-detail/en/wurth-electronics-inc/431256058736/431256058736-ND
2,300 Ohm 1/4W Axial Through-Hole Resistor ,CF14JT560R,Stackpole Electronics,CF14JT560R,CF14JT560RCT-ND,,,,,,,,http://www.digikey.ca/product-detail/en/stackpole-electronics-inc/CF14JT560R/CF14JT560RCT-ND
4,10k Ohm 1/4W Axial Through-Hole Resistor ,CF14JT10K0,Stackpole Electronics,CF14JT10K0,CF14JT10K0CT-ND,,,,,,,,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT10K0/CF14JT10K0CT-ND
1,470 pF Ceramic Through-Hole Radial Capacitor ,C315C471K5R5TA,KEMET,C315C471K5R5TA,399-9740-ND,C315C471K5R5TA,,,,,,,http://www.digikey.ca/product-detail/en/kemet/C315C471K5R5TA/399-9740-ND
1, 0.01 uF Ceramic Through-Hole Radial Capacitor  ,C315C103K5R5TA7303 ,KEMET,C315C103K5R5TA7303 ,399-9858-1-ND ,80-C315C103K5R-TR,,,,,,,http://www.digikey.ca/product-detail/en/kemet/C315C103K5R5TA7303/399-9858-1-ND
1,1.0 uF Ceramic Through-Hole Radial Capacitor ,C315C105K3R5TA,KEMET,C315C105K3R5TA,399-9714-ND,C315C105K3R5TA,,,,,,,http://www.digikey.ca/product-detail/en/kemet/C315C105K3R5TA/399-9714-ND
1,2N3906 PNP-type Through-Hole Transistor ,2N3906TFR,Fairchild Semiconductor,2N3906TFR,2N3906D26ZCT-ND,2N3906TFR,,,,,,,http://www.digikey.ca/product-detail/en/fairchild-on-semiconductor/2N3906TFR/2N3906D26ZCT-ND
1,1-Position Straight Female Through-Hole Header ,929974-01-01,3M,929974-01-01,929974-01-01-ND,,,,,,,,http://www.digikey.ca/product-detail/en/3m/929974-01-01/929974-01-01-ND
